"The negotiated price cannot be higher than 100 or less than 0 percent.","The negotiated price cannot be higher than 100 or less than 0 percent."
"The negotiated price cannot be less than 0 or higher than catalog price.","The negotiated price cannot be less than 0 or higher than catalog price."
"Quote # %1","Quote # %1"
Status,Status
"Created From","Created From"
"Customer Name","Customer Name"
"Company Name","Company Name"
"Customer Group","Customer Group"
"Customer Email","Customer Email"
"Admin User Quote Is Assigned To","Admin User Quote Is Assigned To"
"Send CC To","Send CC To"
"Reminder Date","Reminder Date"
"Expiration Date","Expiration Date"
"Show Prices to a Customer","Show Prices to a Customer"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Add New Address"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available at the moment.","Sorry, no quotes are available at the moment."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","You don't need to select a shipping method."
Cost,Cost
"Catalog Price","Catalog Price"
"Cart Price","Cart Price"
Stock,Stock
"Proposed Price","Proposed Price"
Qty,Qty
Subtotal,Subtotal
"Estimated Tax","Estimated Tax"
"Row Subtotal","Row Subtotal"
Action,Action
"No ordered items","No ordered items"
"Update Items and Quantities","Update Items and Quantities"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
Comment:,Comment:
"Tier Pricing","Tier Pricing"
"Custom Price","Custom Price"
"Please select","Please select"
Remove,Remove
Comments,Comments
"History Log","History Log"
"Type here to add your comment to this Quote","Type here to add your comment to this Quote"
Send,Send
"History log is not available at the moment.","History log is not available at the moment."
"Quote Currency:","Quote Currency:"
"Add/Hide shipping information","Add/Hide shipping information"
"Negotiated Subtotal","Negotiated Subtotal"
"Date of export: ","Date of export: "
"Quote #","Quote #"
"Product Name","Product Name"
"Raw Subtotal","Raw Subtotal"
"Store Information","Store Information"
"<a href=""%1"">Sign In</a> to request a quote","<a href=""%1"">Sign In</a> to request a quote"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Items Ordered","Items Ordered"
"Enter 0 to remove item","Enter 0 to remove item"
"Quotation overview","Quotation overview"
Code,Code
"Total price","Total price"
"Quotation ","Quotation "
"Your data","Your data"
"Quote #:","Quote #:"
Order:,Order:
Created:,Created:
Expired:,Expired:
"Quote Name","Quote Name"
"Last Updated","Last Updated"
Actions,Actions
"You have created no quotes.","You have created no quotes."
Items,Items
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Page,Page
Previous,Previous
"You're currently reading page","You're currently reading page"
Next,Next
Show,Show
"per page","per page"
"You added %1 to your <a href=""%2"">quote list</a>.","You added %1 to your <a href=""%2"">quote list</a>."
"Add to Quote","Add to Quote"
"Quote List Items","Quote List Items"
Item,Item
"Update Quote List","Update Quote List"
"You have no items in your quote list.","You have no items in your quote list."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Your quote number is: %1.","Your quote number is: %1."
"The quote has been sent to the merchant.","The quote has been sent to the merchant."
"Continue Shopping","Continue Shopping"
Delete,Delete
"Click here or drag and drop to add files.","Click here or drag and drop to add files."
"File Uploading in Progress","File Uploading in Progress"
